Country,City,Starting_a_business_score,Dealing_with_construction_permits_score,Getting_Electricity_score,Registering_Property_score,Getting_Credit_score,Strength_of_minority_investors_protection_score,Paying_taxes_score,Trading_across_borders_score,Enforcing_contracts_score,Resolving_insolvency_score,Overall_ease_of_doing_business_score
St. Kitts and Nevis,St. Kitts and Nevis,85.9,73.5,70.2,28.9,25,52,64.4,81,65.5,0,54.6
St. Lucia,St. Lucia,89.4,76.4,83,59.8,25,58,75.5,73.9,59.7,35.9,63.7
St. Vincent and the Grenadines,St. Vincent and the Grenadines,87,74.4,71.2,43.1,25,58,71.1,77.4,63.7,0,57.1
Sudan,Sudan,76.7,64.2,51.3,63.7,15,30,51.8,19,47.8,28.8,44.8
Suriname,Suriname,61.6,66.3,57.7,46.8,10,28,69.4,75,25.9,33.8,47.5
Sweden,Sweden,93.1,78,96.2,90.1,60,72,85.3,98,67.6,79.5,82
Switzerland,Switzerland,88.4,71.8,94.4,86.1,65,50,87.7,96.1,64.1,62.6,76.6
Syrian Arab Republic,Syrian Arab Republic,80.1,0,52,45.2,15,54,74,29.8,42.6,27,42
"Taiwan, China","Taiwan, China",94.4,87.1,96.3,83.9,50,76,84.3,84.9,75.1,77.1,80.9
Tajikistan,Tajikistan,93.2,60.8,51.1,66.4,90,40,60.9,60.9,60.7,28.4,61.3
Tanzania,Tanzania,74.4,57.9,74.9,50.1,65,50,51.3,20.2,61.7,39.1,54.5
Thailand,Thailand,92.4,77.3,98.7,69.5,70,86,77.7,84.6,67.9,76.8,80.1
Timor-Leste,Timor-Leste,89.4,55.3,63,0,20,28,61.9,69.9,6.1,0,39.4
Togo,Togo,95.1,64.1,72.6,72,70,42,47.3,63.7,49,47,62.3
Tonga,Tonga,90.9,71.9,73.2,43.4,70,30,70.6,72.6,57.3,33.9,61.4
Trinidad and Tobago,Trinidad and Tobago,88.6,64.1,84.3,46.7,65,64,53.5,62.6,35.6,48.4,61.3
Tunisia,Tunisia,94.6,77.4,82.3,63.7,50,62,69.4,74.6,58.4,54.2,68.7
Turkey,Turkey,88.8,73.8,84.5,81.6,75,76,86.6,91.6,71.4,38.5,76.8
Uganda,Uganda,71.4,66.4,48.4,53.6,60,56,73.1,66.7,60.6,43.6,60
Ukraine,Ukraine,91.1,81.1,62.5,71.3,75,68,78.1,80.1,63.6,31.4,70.2
United Arab Emirates,United Arab Emirates,94.8,89.8,100,90.1,70,80,85.3,74.1,75.9,49.3,80.9
United Kingdom,United Kingdom,94.6,80.3,96.9,75.7,75,84,86.2,93.8,68.7,80.3,83.5
United States,United States,,,,,,,,,,,
United States Los Angeles,United States Los Angeles,91.6,79.9,68.5,77.1,95,74,88.3,92,65,90.5,82.2
United States New York City,United States New York City,91.6,80.1,91.2,76.8,95,70,85.8,92,79.1,90.5,85.2
Uruguay,Uruguay,89.6,57.5,82.1,57.6,60,30,70.3,58.4,56.3,53.6,61.5
Uzbekistan,Uzbekistan,96.2,61.7,86.9,67.9,65,70,77.5,58.2,71.9,43.5,69.9
Vanuatu,Vanuatu,81.5,54.6,72.2,65.6,75,32,77.8,59.1,49.3,43.4,61.1
"Venezuela, RB","Venezuela, RB",25,46.5,39.8,50.3,40,24,11.4,0,46.9,18.5,30.2
Vietnam,Vietnam,85.1,79.3,88.2,71.1,80,54,69,70.8,62.1,38,69.8
West Bank and Gaza,West Bank and Gaza,70.2,58.2,74.9,64.6,80,44,68.7,86.7,52.5,0,60
"Yemen, Rep.","Yemen, Rep.",76.8,0,0,65.2,0,26,74.1,0,48.5,26.9,31.8
Zambia,Zambia,84.9,72.1,62.1,49.3,95,60,88.9,56.9,50.8,49.3,66.9
Zimbabwe,Zimbabwe,72,60,48.6,59.5,65,54,58.7,54.3,39.7,32.9,54.5
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
