Country,City,Starting_a_business_score,Dealing_with_construction_permits_score,Getting_Electricity_score,Registering_Property_score,Getting_Credit_score,Strength_of_minority_investors_protection_score,Paying_taxes_score,Trading_across_borders_score,Enforcing_contracts_score,Resolving_insolvency_score
Bosnia and Herzegovina,Mostar,67.47366626166843,27.17775102035313,,52.67756160468061,,,,,37.166808111179414,
Bosnia and Herzegovina,Sarajevo,67.55516647193245,35.873198847262245,,66.53813586382783,,,,,55.2424564390675,
Brazil,Aracaju,81.49001869439836,42.83033907697298,,54.4608104603627,,,42.38731300472365,,,
Brazil,Belém,84.68860625406526,39.32353703087799,,55.80655940604373,,,41.4303661066652,,,
Brazil,Belo Horizonte,82.03407291005792,57.742054166262015,,54.34110277125169,,,42.77391425386666,,,
Brazil,Boa Vista,76.94202687522866,64.87814272138301,,56.61644383950755,,,42.731732350272786,,,
Brazil,Brasília,75.9264318426308,42.93247187120119,,54.45404865141768,,,43.0872815733492,,,
Brazil,Campo Grande,77.83142478161567,63.14456623865317,,55.67082369179985,,,43.139851943590465,,,
Brazil,Cuiabá,77.98137977393498,43.49717117926161,,54.16816914814691,,,42.87449378821058,,,
Brazil,Curitiba,84.5376142105935,56.61685686128834,,51.64041966831436,,,43.243344535466264,,,
Brazil,Florianópolis,83.88596013171491,43.38517056381715,,56.951385836579334,,,42.99613473959235,,,
Brazil,Fortaleza,81.97720332425139,62.35209373443542,,55.47624693374726,,,42.55019988156263,,,
Brazil,Goiânia,72.15604513655497,56.947946932329444,,57.167584362846696,,,43.21620418446964,,,
Brazil,João Pessoa,79.09027304499455,56.163612073779795,,52.062786840980074,,,42.914336166814586,,,
Brazil,Macapá,79.46947904160298,41.56322255675012,,47.46470343610803,,,43.223740037174906,,,
Brazil,Maceió,82.82373978931415,44.06151367470394,,58.407202414400274,,,43.361522209868774,,,
Brazil,Manaus,79.51074423090742,46.04098229452575,,53.18816884611258,,,43.16050847138206,,,
Brazil,Natal,80.44044761764492,49.64034812000657,,47.865553283279034,,,43.056683667167995,,,
Brazil,Palmas,77.81043281503828,59.03674339889244,,56.514749155487344,,,42.87646643169052,,,
Brazil,Porto Alegre,83.03208655306437,42.06379667053843,,50.85073122058625,,,43.03008161455796,,,
Brazil,Porto Velho,82.21949135386589,40.64885587329812,,54.527814929331434,,,43.387470442517575,,,
Brazil,Recife,82.14148073975855,38.55838448802092,,52.13102062849128,,,42.55127462270918,,,
Brazil,Rio Branco,77.59300587867142,48.88172280768068,,49.43097766489543,,,42.53170462966143,,,
Brazil,Rio de Janeiro,83.17669525876046,56.28882435720947,,57.649342136933,,,42.29447146002044,,,
Brazil,Salvador,79.64354727844137,48.69725384616896,,50.867868705906155,,,41.60603035071865,,,
Brazil,São Luís,83.39255558829497,36.012913223885164,,52.464543562400685,,,43.06496187203064,,,
Brazil,São Paulo,81.69362384969128,47.37002738552227,,69.45615100029224,,,42.661512137118734,,,
Brazil,Teresina,84.45460564865314,50.406943415214606,,51.80140504389345,,,42.456816268931995,,,
Brazil,Vitória,82.5331505860147,41.11069937250546,,55.402045108463284,,,43.986330988050234,,,
Bulgaria,Pleven,90.49722636393608,66.99822094449756,47.87544160631865,71.70370313990315,,,,,,
Bulgaria,Ruse,88.33247756285306,66.22692954228032,56.27436964815532,73.15007431657975,,,,,,
Bulgaria,Sofia,86.82493987441084,68.10950835483902,47.84781619093451,71.2020957342723,,,,,,
Bulgaria,Burgas,90.0543220795542,63.41873949442425,58.15842761916982,72.00108528592726,,,,,,
Bulgaria,Varna,90.55683464236827,65.1559537098605,62.071471097430695,71.36458960987336,,,,,,
Bulgaria,Plovdiv,90.0543220795542,62.17437229593472,57.578717474242275,71.68210601957956,,,,,,
Colombia,Barranquilla,67.09422213098995,,,52.63637255862012,,,26.38482116754862,,,
Colombia,Bogotá,72.53872460120127,,,68.74605740716,,,23.701821138059568,,,
Colombia,Bucaramanga,68.52381966537978,,,57.699823366929515,,,30.021121036584805,,,
Colombia,Cali,70.11763983398517,,,60.71758544093071,,,26.194625956535926,,,
